27/08 09:23  acompanhando ate 27/08 16:00 (medicao a cada 20 min)
27/08 09:23  R$  158.34 |  19315 impr |  812 cliq | CTR 4.20% |  698 LPV | abertura 1 (0.14%) | checkout 0 | compra 0
27/08 09:43  R$  160.25 |  19511 impr |  821 cliq | CTR 4.21% |  705 LPV | abertura 1 (0.14%) | checkout 0 | compra 0
27/08 10:03  R$  162.66 |  19738 impr |  842 cliq | CTR 4.27% |  722 LPV | abertura 1 (0.14%) | checkout 0 | compra 0
27/08 10:23  R$  164.32 |  19917 impr |  852 cliq | CTR 4.28% |  731 LPV | abertura 1 (0.14%) | checkout 0 | compra 0
27/08 10:43  R$  165.96 |  20091 impr |  859 cliq | CTR 4.28% |  738 LPV | abertura 1 (0.14%) | checkout 0 | compra 0
27/08 11:03  R$  166.93 |  20226 impr |  865 cliq | CTR 4.28% |  743 LPV | abertura 1 (0.13%) | checkout 0 | compra 0
27/08 11:23  R$  167.86 |  20337 impr |  872 cliq | CTR 4.29% |  752 LPV | abertura 1 (0.13%) | checkout 0 | compra 0
27/08 11:43  R$  169.33 |  20512 impr |  878 cliq | CTR 4.28% |  755 LPV | abertura 1 (0.13%) | checkout 0 | compra 0
27/08 12:03  R$  170.40 |  20641 impr |  885 cliq | CTR 4.29% |  761 LPV | abertura 1 (0.13%) | checkout 0 | compra 0
27/08 12:52  R$  175.88 |  21211 impr |  908 cliq | CTR 4.28% |  783 LPV | abertura 1 (0.13%) | checkout 0 | compra 0
27/08 13:12  R$  178.07 |  21478 impr |  922 cliq | CTR 4.29% |  793 LPV | abertura 1 (0.13%) | checkout 0 | compra 0
27/08 13:32  R$  178.92 |  21582 impr |  929 cliq | CTR 4.30% |  798 LPV | abertura 1 (0.13%) | checkout 0 | compra 0
27/08 13:52  R$  179.04 |  21592 impr |  930 cliq | CTR 4.31% |  805 LPV | abertura 1 (0.12%) | checkout 0 | compra 0
27/08 14:12  R$  179.08 |  21594 impr |  930 cliq | CTR 4.31% |  805 LPV | abertura 1 (0.12%) | checkout 0 | compra 0
27/08 14:33  R$  179.13 |  21598 impr |  930 cliq | CTR 4.31% |  805 LPV | abertura 1 (0.12%) | checkout 0 | compra 0
27/08 14:53  R$  179.13 |  21598 impr |  930 cliq | CTR 4.31% |  805 LPV | abertura 1 (0.12%) | checkout 0 | compra 0
27/08 15:13  R$  179.13 |  21599 impr |  930 cliq | CTR 4.31% |  805 LPV | abertura 1 (0.12%) | checkout 0 | compra 0
27/08 16:12  R$  179.14 |  21602 impr |  930 cliq | CTR 4.31% |  805 LPV | abertura 1 (0.12%) | checkout 0 | compra 0
27/08 16:12  16h SEM AVANCO pelo criterio fixado. Pausando.
27/08 16:12  PAUSA EXECUTADA, resposta da Meta: {"success":true}
